ID,MonthlyIncome
871,5712.646
872,3910.29654
873,13079.37125
874,3911.053795
875,4000.351497
876,6248.432211
877,5756.537596
878,3776.349987
879,4134.298049
880,13301.85825
881,9881.292487
882,4000.351497
883,5667.239894
884,5622.591043
885,5846.592553
886,5577.942192
887,5890.484148
888,5301.259055
889,5846.592553
890,3955.702646
891,5801.943702
892,9032.964321
893,9032.207066
894,5667.239894
895,9925.941338
896,9166.153618
897,9122.262023
898,16208.75229
899,5845.835298
900,3955.702646
901,3954.94539
902,5479.854459
903,6203.78336
904,4045.000347
905,16431.99655
906,5578.699448
907,9568.750531
908,5756.537596
909,3777.107242
910,3731.701136
911,15837.32807
912,4000.351497
913,3999.594241
914,12520.29342
915,5756.537596
916,5622.591043
917,3821.756093
918,5623.348298
919,3731.701136
920,4223.595751
921,3865.647689
922,3731.701136
923,5801.943702
924,5435.205608
925,16467.85537
926,4134.298049
927,5846.592553
928,9524.10168
929,3731.701136
930,4044.243092
931,6069.836807
932,9076.855917
933,9077.613172
934,3820.998838
935,3732.458391
936,3866.404944
937,9390.155128
938,9434.803979
939,6203.026104
940,3732.458391
941,4357.542303
942,9122.262023
943,9881.292487
944,5578.699448
945,3687.80954
946,5667.239894
947,3731.701136
948,3821.756093
949,4045.000347
950,5756.537596
951,4134.298049
952,5757.294851
953,5757.294851
954,3954.94539
955,5801.943702
956,9032.964321
957,10283.13215
958,4134.298049
959,9567.993276
960,16507.06084
961,3955.702646
962,5801.186447
963,5980.539105
964,5935.890254
965,3776.349987
966,16015.16622
967,3911.053795
968,9076.855917
969,16700.64691
970,3911.053795
971,5712.646
972,5846.592553
973,3911.053795
974,3732.458391
975,5622.591043
976,3865.647689
977,6248.432211
978,3955.702646
979,9390.155128
980,19011.35796
981,3955.702646
982,9300.857426
983,3955.702646
984,3911.053795
985,5757.294851
986,4044.243092
987,3732.458391
988,5301.259055
989,9568.750531
990,3821.756093
991,5980.539105
992,3911.053795
993,5935.890254
994,5623.348298
995,5667.997149
996,6114.485658
997,3820.998838
998,13302.61551
999,9166.910873
1000,3732.458391
1001,6113.728403
1002,5622.591043
1003,5846.592553
1004,6292.323806
1005,4134.298049
1006,5801.186447
1007,3777.107242
1008,5846.592553
1009,19145.30452
1010,5979.78185
1011,9390.155128
1012,5935.890254
1013,5979.78185
1014,5891.241404
1015,5801.943702
1016,4045.000347
1017,4134.298049
1018,8666.226227
1019,9166.910873
1020,3687.052285
1021,5801.943702
1022,5301.259055
1023,5712.646
1024,9746.58868
1025,16209.50955
1026,18922.81752
1027,5801.943702
1028,5622.591043
1029,5577.942192
1030,9701.939829
1031,5577.942192
1032,4134.298049
1033,9032.207066
1034,3731.701136
1035,5891.241404
1036,3731.701136
1037,5667.239894
1038,9345.506277
1039,9032.207066
1040,5891.241404
1041,3954.94539
1042,3955.702646
1043,9077.613172
1044,6203.026104
1045,3911.053795
1046,3732.458391
1047,5712.646
1048,12430.99572
1049,4045.000347
1050,5711.888745
1051,9737.798648
1052,4044.243092
1053,5757.294851
1054,3955.702646
1055,3955.702646
1056,3955.702646
1057,5667.239894
1058,16254.1584
1059,6247.674955
1060,3954.94539
1061,5979.78185
1062,5801.943702
1063,6069.836807
1064,3821.756093
1065,5935.890254
1066,3910.29654
1067,4580.786558
1068,19458.60373
1069,5623.348298
1070,3866.404944
1071,3911.053795
1072,5979.78185
1073,3777.107242
1074,5846.592553
1075,5256.610204
1076,16522.05151
1077,19146.06177
1078,5846.592553
1079,5846.592553
1080,6247.674955
1081,4045.000347
1082,3866.404944
1083,3732.458391
1084,6069.836807
1085,9077.613172
1086,9524.10168
1087,5667.997149
1088,3544.315701
1089,3955.702646
1090,5667.997149
1091,5711.888745
1092,6069.836807
1093,9077.613172
1094,5712.646
1095,5667.239894
1096,5757.294851
1097,4446.08275
1098,3955.702646
1099,4045.000347
1100,5846.592553
1101,18922.06026
1102,5756.537596
1103,5979.78185
1104,10193.07719
1105,4045.000347
1106,4045.000347
1107,4089.649198
1108,5846.592553
1109,5712.646
1110,5667.997149
1111,6069.836807
1112,12519.53617
1113,12564.18502
1114,6203.026104
1115,9747.345935
1116,4045.000347
1117,6203.78336
1118,5846.592553
1119,9702.697084
1120,4045.000347
1121,9524.10168
1122,16477.40266
1123,5846.592553
1124,16253.40115
1125,3777.107242
1126,3731.701136
1127,3955.702646
1128,5801.943702
1129,16254.1584
1130,3865.647689
1131,9032.964321
1132,16209.50955
1133,5846.592553
1134,3866.404944
1135,4134.298049
1136,3954.94539
1137,4446.840005
1138,5846.592553
1139,9390.155128
1140,12632.12549
1141,5846.592553
1142,5846.592553
1143,9836.643636
1144,5578.699448
1145,5613.801011
1146,5757.294851
1147,5667.997149
1148,3866.404944
1149,3821.756093
1150,5891.241404
1151,3866.404944
1152,5756.537596
1153,6293.081061
1154,3731.701136
1155,6114.485658
1156,12945.4247
1157,3911.053795
1158,6069.836807
1159,3866.404944
1160,5711.888745
1161,3955.702646
1162,9077.613172
1163,4178.189645
1164,9166.910873
1165,4044.243092
1166,3777.107242
1167,9256.208575
1168,5667.997149
1169,3955.702646
1170,4045.000347
